"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-1","1","STC01-B-021-07-D2","0","0","-1.2","in","0","0","40.37616630392937","0","40.37616630392937","dc","false","20260909","BASE","1"
"STC1/out-1","1","STC01-A-015-08-D1","0","0","-1.2","out","0","0","82.63316412750561","0","82.63316412750561","dc","false","20260909","BASE","1"
"STC1/out-2","1","STC01-A-019-03-D1","0","0","-1.2","out","88.6899339593947","88.6899339593947","140.73276692999073","0","52.04283297059604","out","false","20260909","BASE","1"
"STC1/in-2","1","STC01-B-026-04-D1","0","0","-1.2","in","89.65625963572944","140.73276692999073","179.1089332339201","51.07650729426129","89.45267359819067","in","false","20260909","BASE","1"
"STC1/out-3","1","STC01-B-025-01-D1","0","0","-1.2","out","176.68134510251028","179.1089332339201","225.31843287118284","2.427588131409834","48.63708776867256","out","false","20260909","BASE","1"
"STC1/in-3","1","STC01-B-013-04-D1","0","0","-1.2","in","180.57210010343363","225.31843287118284","255.02793250844556","44.74633276774921","74.45583240501193","in","false","20260909","BASE","1"
"STC1/out-4","1","STC01-B-011-03-D1","0","0","-1.2","out","256.6500084328332","256.6500084328332","290.94220033985323","0","34.292191907020026","out","false","20260909","BASE","1"
"STC1/in-4","1","STC01-B-004-05-D2","0","0","-1.2","in","274.5743384079209","290.94220033985323","323.1516999771159","16.36786193193234","48.577361569195034","in","false","20260909","BASE","1"
"STC1/out-5","1","STC01-B-020-04-D2","0","0","-1.2","out","342.06391675663843","342.06391675663843","398.4400830605678","0","56.37616630392938","out","false","20260909","BASE","1"
"STC1/in-5","1","STC01-B-001-07-D1","0","0","-1.2","in","353.6463597323745","398.4400830605678","429.3162493644972","44.79372332819332","75.6698896321227","in","false","20260909","BASE","1"
"STC1/out-6","1","STC01-B-013-10-D2","0","0","-1.2","out","420.32089039816384","429.3162493644972","485.5257490017599","8.995358966333356","65.20485860359605","out","false","20260909","BASE","1"
"STC1/in-6","1","STC01-B-006-03-D1","0","0","-1.2","in","439.9804173968732","485.5257490017599","510.38337769589424","45.54533160488671","70.40296029902106","in","false","20260909","BASE","1"
"STC1/out-7","1","STC01-B-022-06-D2","0","0","-1.2","out","505.7721434174371","510.38337769589424","568.0928773331569","4.611234278457118","62.32073391571981","out","false","20260909","BASE","1"
"STC1/in-7","1","STC01-A-005-02-D1","0","0","-1.2","in","528.5074725693889","568.0928773331569","592.0930820417221","39.585404763768","63.5856094723332","in","false","20260909","BASE","1"
"STC1/out-8","1","STC01-B-008-01-D1","0","0","-1.2","out","588.1909219255405","592.0930820417221","625.5905864080637","3.902160116181676","37.399664482523235","out","true","20260909","BASE","1"
