"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-1","1","STC01-B-022-05","0","0","-1.2","in","0","0","35.70949963726271","0","35.70949963726271","in","false","20260909","CASE1","1"
"STC1/out-1","1","STC01-A-029-10","0","0","-1.2","out","0","56.042832970596045","121.41899927452542","56.042832970596045","121.41899927452542","out","false","20260909","CASE1","1"
"STC1/in-2","1","STC01-B-026-07","0","0","-1.2","in","89.65625963572944","121.41899927452542","159.7951655784548","31.762739638795978","70.13890594272536","dc","false","20260909","CASE2","2"
"STC1/out-2","1","STC01-B-005-05","60","0","-1.2","out","88.6899339593947","121.41899927452542","217.67133188238418","32.729065315130725","128.9813979229895","dc","false","20260909","CASE2","2"
"STC1/in-3","1","STC01-B-013-07","0","10","-1.2","in","180.57210010343363","243.67133188238418","285.88083151964685","63.09923177895055","105.30873141621322","dc","false","20260909","CASE3","3"
"STC1/out-3","1","STC01-B-014-06","0","10","-1.2","out","176.68134510251028","243.67133188238418","320.2569978235762","66.9899867798739","143.57565272106595","dc","false","20260909","CASE3","3"
"STC1/out-4","1","STC01-B-020-07","30","0","-1.2","out","256.6500084328332","320.2569978235762","370.1331641275056","63.606989390743024","113.4831556946724","out","false","20260909","CASE4","4"
"STC1/in-4","1","STC01-B-004-10","30","0","-1.2","in","274.5743384079209","370.1331641275056","407.009330431435","95.55882571958472","132.4349920235141","in","false","20260909","CASE4","4"
"STC1/in-5","1","STC01-B-002-03","0","0","-1.2","in","353.6463597323745","428.509330431435","467.38549673536437","74.8629706990605","113.73913700298988","dc","false","20260909","CASE5","5"
"STC1/out-5","1","STC01-A-017-02","0","10","-1.2","out","342.06391675663843","428.509330431435","515.2616630392937","86.44541367479655","173.19774628265526","dc","false","20260909","CASE5","5"
"STC1/out-6","1","STC01-A-018-05","0","0","-1.2","out","420.32089039816384","527.7616630392937","578.4711626765562","107.44077264112985","158.15027227839238","out","false","20260909","CASE6","6"
"STC1/in-7","1","STC01-B-006-09","0","0","-1.2","in","528.5074725693889","578.4711626765562","613.3473289804855","49.96369010716728","84.83985641109655","dc","true","20260909","CASE1","1"
"STC1/out-7","1","STC01-B-001-01","0","0","-1.2","out","505.7721434174371","578.4711626765562","650.051922409161","72.6990192591191","144.27977899172384","dc","true","20260909","CASE1","1"
"STC1/in-6","1","STC01-A-005-05","0","10","-1.2","in","439.9804173968732","650.051922409161","686.5521271177262","210.0715050122878","246.571709720853","in","true","20260909","CASE6","6"
"STC1/out-8","1","STC01-B-007-07","60","0","-1.2","out","588.1909219255405","695.1761655223621","742.4828775035426","106.98524359682165","154.2919555780021","out","true","20260909","CASE2","2"
"STC1/in-9","1","STC01-A-030-09","0","10","-1.2","in","691.9478780057813","742.4828775035426","809.5257104741385","50.534999497761305","117.5778324683572","dc","true","20260909","CASE3","3"
"STC1/out-9","1","STC01-B-023-10","0","10","-1.2","out","671.9781279577209","742.4828775035426","856.0343328804481","70.50474954582171","184.05620492272726","dc","true","20260909","CASE3","3"
"STC1/in-8","1","STC01-B-003-01","0","0","-1.2","in","607.213990325108","856.0343328804481","890.4657998925724","248.82034255534006","283.2518095674643","in","true","20260909","CASE2","2"
"STC1/in-10","1","STC01-A-018-05","30","0","-1.2","in","777.4748831255627","897.0211006007673","939.8972669046966","119.54621747520468","162.42238377913395","dc","true","20260909","CASE4","4"
"STC1/out-10","1","STC01-B-023-03","30","0","-1.2","out","762.5877364951053","897.0211006007673","974.8250100761041","134.433364105662","212.23727358099882","dc","true","20260909","CASE4","4"
"STC1/out-11","1","STC01-A-009-08","0","10","-1.2","out","848.9122694198575","974.8250100761041","1019.3678430467","125.91274065624668","170.45557362684258","out","true","20260909","CASE5","5"
"STC1/in-11","1","STC01-B-016-08","0","0","-1.2","in","859.7890162707438","1019.3678430467","1064.7440093506295","159.57882677595626","204.95499307988575","in","true","20260909","CASE5","5"
"STC1/in-12","1","STC01-B-006-01","0","10","-1.2","in","945.9402927543434","1082.2440093506295","1121.620175654559","136.3037165962861","175.6798829002156","dc","true","20260909","CASE6","6"
"STC1/out-12","1","STC01-A-024-03","0","0","-1.2","out","933.6232961062342","1082.2440093506295","1176.1630086251553","148.62071324439535","242.53971251892108","dc","true","20260909","CASE6","6"
