"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"STC3/in-1","3","STC03-B-008-02","30","4","1","in","0","0","20.749531820428995","0","20.749531820428995","dc","true","20470367"
"STC2/in-1","2","STC02-B-008-06","12","2","-0.6","in","0","0","30.333333333333332","0","30.333333333333332","dc","true","20365638"
"STC1/in-1","1","STC01-B-008-03","0","0","-0.8","in","0","0","30.666666666666668","0","30.666666666666668","dc","true","20260909"
"STC1/out-1","1","STC01-A-012-01","60","0","1","out","0","0","60.44841085955505","0","60.44841085955505","dc","true","20260909"
"STC3/out-1","3","STC03-B-001-05","0","0","-0.6","out","0","0","66.91619848709567","0","66.91619848709567","dc","true","20470367"
"STC2/out-1","2","STC02-A-005-02","48","10","-1.1","out","0","0","73.33333333333333","0","73.33333333333333","dc","true","20365638"
"STC3/in-2","3","STC03-B-002-05","30","4","1","in","34.674336259067054","82.91619848709567","109.249531820429","48.241862228028616","74.57519556136194","dc","true","20470367"
"STC2/in-2","2","STC02-B-009-02","12","2","-0.6","in","36.73692142870277","91.33333333333333","119","54.59641190463056","82.26307857129723","dc","true","20365638"
"STC1/in-2","1","STC01-B-010-01","0","0","-0.8","in","37.655629047006364","86.44841085955505","120.44841085955505","48.79278181254869","82.7927818125487","dc","true","20260909"
"STC3/out-2","3","STC03-B-011-01","0","0","-0.6","out","33.389683624729514","82.91619848709567","164.749531820429","49.526514862366156","131.3598481956995","dc","true","20470367"
"STC1/out-2","1","STC01-B-005-05","60","0","1","out","37.249772262945775","86.44841085955505","167.11507752622174","49.19863859660928","129.86530526327596","dc","true","20260909"
"STC2/out-2","2","STC02-A-001-01","48","10","-1.1","out","38.733885689266025","91.33333333333333","172.16666666666666","52.599447644067304","133.43278097740063","dc","true","20365638"
"STC3/in-3","3","STC03-B-010-06","30","4","1","in","72.80999311544001","180.749531820429","210.4161984870957","107.939538704989","137.60620537165568","dc","true","20470367"
"STC1/in-3","1","STC01-B-004-03","0","0","-0.8","in","75.84028204344213","193.11507752622174","217.11507752622174","117.27479548277961","141.2747954827796","dc","true","20260909"
"STC2/in-3","2","STC02-A-003-05","12","2","-0.6","in","73.97879932019859","190.16666666666666","217.16666666666666","116.18786734646807","143.18786734646807","dc","true","20365638"
"STC2/out-3","2","STC02-B-007-04","48","10","-1.1","out","76.72659111656249","190.16666666666666","253.66145706114628","113.44007555010417","176.9348659445838","dc","true","20365638"
"STC1/out-3","1","STC01-A-006-05","60","0","1","out","74.20616494305432","193.11507752622174","256.11507752622174","118.90891258316742","181.90891258316742","dc","true","20260909"
"STC3/out-3","3","STC03-B-002-06","0","0","-0.6","out","69.69571707844733","180.749531820429","261.5828651537624","111.05381474198168","191.88714807531505","dc","true","20470367"
"STC2/in-4","2","STC02-B-004-03","12","2","-0.6","in","112.78490108661353","271.6614570611463","291.9947903944796","158.87655597453275","179.20988930786606","dc","true","20365638"
"STC1/in-4","1","STC01-B-001-02","0","0","-0.8","in","115.3212221313268","282.11507752622174","301.7817441928884","166.79385539489493","186.46052206156162","dc","true","20260909"
"STC3/in-4","3","STC03-B-012-06","30","4","1","in","105.9638170659542","277.5828651537624","307.249531820429","171.61904808780818","201.2857147544748","dc","true","20470367"
"STC2/out-4","2","STC02-B-002-01","48","10","-1.1","out","114.63026136495174","271.6614570611463","333.32812372781297","157.03119569619454","218.69786236286123","dc","true","20365638"
"STC3/out-4","3","STC03-A-012-04","0","0","-0.6","out","103.26459811683742","277.5828651537624","352.5828651537624","174.31826703692496","249.31826703692496","dc","true","20470367"
"STC1/out-4","1","STC01-B-008-06","60","0","1","out","107.79300354178994","282.11507752622174","352.61507752622174","174.3220739844318","244.8220739844318","dc","true","20260909"
"STC2/in-5","2","STC02-A-010-05","12","2","-0.6","in","148.63227831255645","351.32812372781297","380.6614570611463","202.6958454152565","232.02917874858983","dc","true","20365638"
"STC3/in-5","3","STC03-A-004-02","30","4","1","in","142.28930310644208","368.5828651537624","391.49046956465907","226.2935620473203","249.201166458217","dc","true","20470367"
"STC2/out-5","2","STC02-A-011-03","48","10","-1.1","out","150.5012733818963","351.32812372781297","408.7393530410177","200.82685034591665","258.23807965912135","dc","true","20365638"
"STC1/in-5","1","STC01-A-012-01","0","0","-0.8","in","148.5314710875973","378.61507752622174","415.9484108595551","230.08360643862443","267.4169397719578","dc","true","20260909"
"STC3/out-5","3","STC03-A-007-06","0","0","-0.6","out","140.42963818162679","368.5828651537624","439.1571362313257","228.1532269721356","298.7274980496989","dc","true","20470367"
"STC2/in-6","2","STC02-A-004-04","12","2","-0.6","in","187.43032535165548","426.7393530410177","450.4060197076844","239.3090276893622","262.9756943560289","dc","true","20365638"
"STC1/out-5","1","STC01-A-002-05","60","0","1","out","143.66684503778814","378.61507752622174","474.4484108595551","234.9482324884336","330.781565821767","dc","true","20260909"
"STC3/in-6","3","STC03-B-008-05","30","4","1","in","181.7924893889576","455.1571362313257","481.490469564659","273.3646468423681","299.69798017570145","dc","true","20470367"
"STC2/out-6","2","STC02-A-006-06","48","10","-1.1","out","188.80687802396713","426.7393530410177","485.07268637435106","237.93247501705056","296.26580835038396","dc","true","20365638"
"STC3/out-6","3","STC03-B-006-03","0","0","-0.6","out","176.11824513953178","455.1571362313257","516.8238028979924","279.0388910917939","340.70555775846066","dc","true","20470367"
"STC1/in-6","1","STC01-B-002-01","0","0","-0.8","in","184.79177530668676","500.4484108595551","520.5312760133174","315.65663555286835","335.7395007066307","dc","true","20260909"
"STC2/in-7","2","STC02-A-003-03","12","2","-0.6","in","221.43989252317698","503.07268637435106","523.4060197076844","281.6327938511741","301.96612718450746","dc","true","20365638"
"STC3/in-7","3","STC03-A-005-02","30","4","1","in","219.43233744967725","532.8238028979924","553.5733347184215","313.3914654483152","334.1409972687443","dc","true","20470367"
"STC2/out-7","2","STC02-A-006-02","48","10","-1.1","out","224.40270544420926","503.07268637435106","559.894108189386","278.66998093014183","335.49140274517674","dc","true","20365638"
"STC1/out-6","1","STC01-B-012-06","60","0","1","out","176.5347739672288","500.4484108595551","576.3646093466508","323.9136368923263","399.829835379422","dc","true","20260909"
"STC2/in-8","2","STC02-A-006-02","12","2","-0.6","in","259.45286943409593","577.894108189386","600.5555652505323","318.44123875529004","341.1026958164363","dc","true","20365638"
"STC3/out-7","3","STC03-A-004-06","0","0","-0.6","out","210.63302991874514","532.8238028979924","601.2400013850882","322.1907729792473","390.6069714663431","dc","true","20470367"
"STC1/in-7","1","STC01-A-002-05","0","0","-0.8","in","221.9731384791434","602.3646093466508","632.0312760133174","380.39147086750745","410.0581375341741","dc","true","20260909"
"STC2/out-8","2","STC02-A-005-03","48","10","-1.1","out","258.851581518352","577.894108189386","634.2775326253939","319.04252667103395","375.42595110704184","dc","true","20365638"
"STC3/in-8","3","STC03-B-011-03","30","4","1","in","257.7771643325686","617.2400013850882","643.5733347184216","359.46283705251966","385.79617038585303","dc","true","20470367"
"STC2/in-9","2","STC02-B-003-01","12","2","-0.6","in","293.558412354067","652.2775326253939","666.1923868409066","358.71912027132686","372.6339744868396","dc","true","20365638"
"STC1/out-7","1","STC01-A-007-06","60","0","1","out","212.42430023532359","602.3646093466508","679.5312760133176","389.9403091113272","467.10697577799397","dc","true","20260909"
"STC3/out-8","3","STC03-A-010-01","0","0","-0.6","out","246.98946490120142","617.2400013850882","685.5733347184216","370.25053648388683","438.5838698172202","dc","true","20470367"
"STC2/out-9","2","STC02-B-005-05","48","10","-1.1","out","292.42386236395686","652.2775326253939","709.1923868409066","359.853670261437","416.7685244769497","dc","true","20365638"
"STC3/in-9","3","STC03-A-001-05","30","4","1","in","291.3854645596817","701.5733347184216","729.5733347184216","410.18787015873994","438.18787015873994","dc","true","20470367"
"STC1/in-8","1","STC01-A-010-06","0","0","-0.8","in","255.02987593654544","705.5312760133176","739.5312760133176","450.50140007677214","484.50140007677214","dc","true","20260909"
"STC2/in-10","2","STC02-B-006-05","12","2","-0.6","in","330.4870360756293","727.1923868409066","754.1923868409066","396.7053507652773","423.7053507652773","dc","true","20365638"
"STC3/out-9","3","STC03-B-001-03","0","0","-0.6","out","283.09111985173075","701.5733347184216","760.5733347184216","418.48221486669087","477.48221486669087","dc","true","20470367"
"STC2/out-10","2","STC02-A-009-04","48","10","-1.1","out","330.7918351884931","727.1923868409066","784.6979949503607","396.40055165241347","453.90615976186757","dc","true","20365638"
"STC1/out-8","1","STC01-A-003-05","60","0","1","out","247.040187208727","705.5312760133176","791.3646093466509","458.49108880459056","544.3244221379239","dc","true","20260909"
"STC3/in-10","3","STC03-A-004-03","30","4","1","in","324.69653512760993","776.5733347184216","799.4809391293184","451.8767995908117","474.7844040017084","dc","true","20470367"
"STC3/out-10","3","STC03-B-005-02","0","0","-0.6","out","321.9914327111095","776.5733347184216","830.5362398375133","454.5819020073121","508.54480712640384","dc","true","20470367"
"STC2/in-11","2","STC02-A-011-04","12","2","-0.6","in","365.5421655384824","802.6979949503607","833.6979949503607","437.1558294118783","468.1558294118783","dc","true","20365638"
"STC1/in-9","1","STC01-A-012-02","0","0","-0.8","in","290.61810876242816","817.3646093466509","854.6979426799842","526.7465005842228","564.079833917556","dc","true","20260909"
"STC2/out-11","2","STC02-B-012-02","48","10","-1.1","out","366.9801628315821","802.6979949503607","864.3779843007266","435.7178321187786","497.39782146914445","dc","true","20365638"
"STC3/in-11","3","STC03-B-002-01","30","4","1","in","362.7206217901781","846.5362398375133","872.8695731708467","483.81561804733525","510.1489513806686","dc","true","20470367"
"STC3/out-11","3","STC03-A-002-01","0","0","-0.6","out","357.14151434116064","846.5362398375133","891.7857716579424","489.3947254963527","534.6442573167817","dc","true","20470367"
