"job_id","from","to","quantity","arrival_s","dispatch_s","complete_s","wait_s","lead_s","measurement_window","seed"
"J000001","S1","S2","1","78.12567042186856","78.12567042186856","124.62567042186856","0","46.5","false","20260911"
"J000002","S1","S2","1","153.68527592159808","153.68527592159808","200.18527592159808","0","46.5","false","20260911"
"J000003","S1","S2","1","231.46592902368866","231.46592902368866","277.96592902368866","0","46.5","false","20260911"
"J000004","S1","S2","1","311.08476466848515","311.08476466848515","357.58476466848515","0","46.5","false","20260911"
"J000005","S1","S2","1","388.560530974064","388.560530974064","435.060530974064","0","46.5","false","20260911"
"J000006","S1","S2","1","456.6824257140979","463.2271976407307","509.7271976407307","6.544771926632791","53.04477192663279","false","20260911"
"J000007","S1","S2","1","535.9036548191216","537.8938643073974","584.3938643073974","1.9902094882758092","48.49020948827581","false","20260911"
"J000008","S1","S2","1","617.8485754842404","617.8485754842404","664.3485754842404","0","46.5","true","20260911"
"J000009","S1","S2","1","698.6547586962115","698.6547586962115","745.1547586962115","0","46.5","true","20260911"
"J000010","S1","S2","1","768.7323498842306","773.3214253628781","819.8214253628781","4.589075478647487","51.08907547864749","true","20260911"
"J000011","S1","S2","1","836.4433350157924","847.9880920295448","894.4880920295448","11.54475701375236","58.04475701375236","true","20260911"
"J000012","S1","S2","1","904.7200805309694","922.6547586962114","969.1547586962114","17.934678165241962","64.43467816524196","true","20260911"
"J000013","S1","S2","1","972.2658665617928","997.321425362878","1043.821425362878","25.055558801085226","71.55555880108523","true","20260911"
"J000014","S1","S2","1","1043.352725096047","1071.9880920295448","1118.4880920295448","28.635366933497835","75.13536693349783","true","20260911"
"J000015","S1","S2","1","1114.0682116616517","1146.6547586962115","1193.1547586962115","32.58654703455977","79.08654703455977","true","20260911"
"J000016","S1","S2","1","1192.3030557611492","1221.3214253628782","1267.8214253628782","29.01836960172909","75.51836960172909","true","20260911"
"J000017","S1","S2","1","1274.6077718795277","1295.988092029545","1342.488092029545","21.38032015001727","67.88032015001727","true","20260911"
"J000018","S1","S2","1","1346.8240144872107","1370.6547586962117","1417.1547586962117","23.830744209001068","70.33074420900107","true","20260911"
"J000019","S1","S2","1","1421.7453821946401","1445.3214253628785","1491.8214253628785","23.576043168238357","70.07604316823836","true","20260911"
"J000020","S1","S2","1","1494.8423940420616","1519.9880920295452","1566.4880920295452","25.145697987483572","71.64569798748357","true","20260911"
"J000021","S1","S2","1","1564.9790133547504","1594.654758696212","1641.154758696212","29.675745341461607","76.1757453414616","true","20260911"
"J000022","S1","S2","1","1647.4324391735718","1669.3214253628787","1715.8214253628787","21.888986189306934","68.38898618930693","true","20260911"
"J000023","S1","S2","1","1722.655592666706","1743.9880920295454","1790.4880920295454","21.33249936283937","67.83249936283937","true","20260911"
"J000024","S1","S2","1","1795.695571617689","1818.6547586962122","1865.1547586962122","22.9591870785232","69.4591870785232","true","20260911"
"J000025","S1","S2","1","1871.4879079652019","1893.321425362879","1939.821425362879","21.833517397677042","68.33351739767704","true","20260911"
"J000026","S1","S2","1","1947.5340342416894","1967.9880920295457","2014.4880920295457","20.4540577878563","66.9540577878563","true","20260911"
"J000027","S1","S2","1","2028.140796564985","2042.6547586962124","2089.1547586962124","14.513962131227345","61.013962131227345","true","20260911"
"J000028","S1","S2","1","2099.4634224066976","2117.321425362879","2163.821425362879","17.85800295618128","64.35800295618128","true","20260911"
"J000029","S1","S2","1","2168.8728979881853","2191.9880920295454","2238.4880920295454","23.115194041360155","69.61519404136016","true","20260911"
"J000030","S1","S2","1","2244.4701203797013","2266.654758696212","2313.154758696212","22.1846383165107","68.6846383165107","true","20260911"
"J000031","S1","S2","1","2325.3266390191857","2341.3214253628785","2387.8214253628785","15.994786343692795","62.494786343692795","true","20260911"
"J000032","S1","S2","1","2394.221761089284","2415.988092029545","2462.488092029545","21.766330940261014","68.26633094026101","true","20260911"
"J000033","S1","S2","1","2466.5321207244415","2490.6547586962115","2537.1547586962115","24.12263797177002","70.62263797177002","true","20260911"
"J000034","S1","S2","1","2539.6935422415845","2565.321425362878","2611.821425362878","25.627883121293507","72.12788312129351","true","20260911"
"J000035","S1","S2","1","2620.6839770358056","2639.9880920295445","2686.4880920295445","19.30411499373895","65.80411499373895","true","20260911"
"J000036","S1","S2","1","2690.216995740775","2714.654758696211","2761.154758696211","24.43776295543603","70.93776295543603","true","20260911"
"J000037","S1","S2","1","2760.370183121413","2789.3214253628776","2835.8214253628776","28.95124224146457","75.45124224146457","true","20260911"
"J000038","S1","S2","1","2835.5858041648753","2863.988092029544","2910.488092029544","28.40228786466878","74.90228786466878","true","20260911"
"J000039","S1","S2","1","2912.049398745876","2938.6547586962106","2985.1547586962106","26.605359950334787","73.10535995033479","true","20260911"
"J000040","S1","S2","1","2990.6871818576474","3013.321425362877","3059.821425362877","22.634243505229733","69.13424350522973","true","20260911"
