"OD ID","출발 ID","도착 ID","요구 물동량 (개/h)"
"OD23","P23","D23","1"
"OD24","P24","D24","1"
"OD25","P25","D25","1"
"OD26","P26","D26","1"
"OD27","P27","D27","1"
"OD28","P28","D28","1"
"OD29","P29","D29","1"
"OD30","P30","D30","1"
"OD31","P31","D31","1"
"OD32","P32","D32","1"
"OD33","P33","D33","1"
"OD34","P34","D34","1"
"OD35","P35","D35","1"
"OD36","P36","D36","1"
"OD37","P37","D37","1"
"OD38","P38","D38","1"
"OD39","P39","D39","1"
"OD40","P40","D40","1"
"OD41","P41","D41","1"
"OD42","P42","D42","1"
"OD43","P43","D43","1"
"OD44","P44","D44","1"
"OD45","P45","D45","1"
"OD46","P46","D46","1"
"OD47","P47","D47","1"
"OD48","P48","D48","1"
"OD49","P49","D49","1"
"OD50","P50","D50","1"
"OD51","P51","D51","1"
"OD52","P52","D52","1"
"OD53","P53","D53","1"
"OD54","P54","D54","1"
"OD55","P55","D55","1"
"OD56","P56","D56","1"
"OD57","P57","D57","1"
"OD58","P58","D58","1"
