"job_id","type","level","tu","slot","arrival_s","dispatch_s","complete_s","wait_s","lead_s","measurement_window"
"J000003","out","4","I000199","F4-A1-B9-R","96.59951983485371","96.59951983485371","172.77278133142866","0","76.17326149657495","false"
"J000002","out","3","I000162","F3-A2-B20-L","91.24762259889394","91.24762259889394","189.97278133142868","0","98.72515873253474","true"
"J000001","in","4","TJ000001","F4-A1-B5-L","90.42759059462696","90.42759059462696","204.4958527025775","0","114.06826210795055","true"
"J000004","out","2","I000105","F2-A3-B9-L","97.19768314156681","97.19768314156681","204.818992582664","0","107.6213094410972","true"
"J000008","in","3","TJ000008","F3-A1-B15-L","106.75226015038788","136.17278133142864","231.04385194595054","29.420521181040755","124.29159179556265","true"
"J000005","out","1","I000003","F1-A3-B16-R","101.64560785982756","101.64560785982756","232.3684823254472","0","130.7228744656196","true"
"J000007","in","2","TJ000007","F2-A2-B11-R","103.799684275873","121.3265700801933","239.8271423012896","17.5268858043203","136.0274580254166","true"
"J000006","in","1","TJ000006","F1-A2-B16-L","102.18978252261877","109.82759059462695","255.941733686217","7.637808072008184","153.75195116359822","true"
"J000011","in","4","TJ000011","F4-A1-B10-R","191.5264767734334","204.818992582664","274.17348431672997","13.292515809230622","82.64700754329658","true"
"J000010","out","2","I000092","F2-A2-B10-R","191.03798312600702","192.2672190607148","290.7598843134842","1.2292359347077877","99.72190118747716","true"
"J000013","in","2","TJ000013","F2-A1-B4-R","195.3521726699546","243.86746181101356","325.89265634088116","48.51528914105896","130.54048367092656","true"
"J000012","in","1","TJ000012","F1-A3-B13-L","195.16883831471205","232.3684823254472","351.4113731260321","37.19964401073514","156.24253481132007","true"
"J000009","out","4","I000191","F4-A2-B2-R","190.9073437610641","233.7135610761552","364.4216998406412","42.80621731509109","173.5143560795771","true"
"J000020","in","4","TJ000020","F4-A2-B2-R","296.6340464120731","317.10507505028585","378.6685721344473","20.471028638212772","82.03452572237421","true"
"J000014","out","3","I000178","F3-A2-B3-L","200.6706116022542","265.0203383325248","381.6216998406412","64.34972673027056","180.951088238387","true"
"J000016","in","3","TJ000016","F3-A3-B5-R","215.71157108061016","258.71367306224886","390.3534277707261","43.0021019816387","174.64185669011596","true"
"J000018","in","2","TJ000018","F2-A2-B16-L","287.81297551468015","290.7598843134842","405.5902952812349","2.9469087988040314","117.77731976655474","true"
"J000015","out","1","I000040","F1-A1-B18-L","211.62051788065583","296.0514498854574","462.8896711350584","84.43093200480155","251.26915325440257","true"
"J000017","out","4","I000194","F4-A1-B7-R","286.6451030783355","337.6087592703587","482.28967113505837","50.963656192023166","195.64456805672285","true"
"J000029","in","4","TJ000029","F4-A2-B7-L","399.4036748679355","418.1497656324518","482.7623499334865","18.74609076451634","83.35867506555104","true"
"J000019","in","1","TJ000019","F1-A3-B14-L","289.1583917522803","305.6060955647195","491.09767923251405","16.447703812439215","201.93928748023376","true"
"J000024","in","3","TJ000024","F3-A1-B8-L","312.34061201568693","336.5050750502858","493.40887161212737","24.164463034598896","181.06825959644044","true"
"J000021","out","2","I000100","F2-A2-B19-R","297.60578226298094","354.5303720406601","497.1358823862937","56.92458977767916","199.53010012331276","true"
"J000026","in","2","TJ000026","F2-A2-B18-R","391.80457489565015","391.80457489565015","516.0927174573402","0","124.28814256169005","true"
"J000023","out","3","I000179","F3-A2-B4-R","308.08068765792996","340.59350453015134","522.4757878889003","32.51281687222138","214.39510023097034","true"
"J000025","out","4","I000225","F4-A2-B11-L","391.54166067484766","438.00242669291174","550.5893092743414","46.46076601806408","159.04764859949375","true"
"J000022","out","1","I000002","F1-A2-B13-L","304.35622091870755","435.03775599193926","595.329214776948","130.68153507323171","290.97299385824044","true"
"J000027","in","1","TJ000027","F1-A2-B9-R","394.4433738803491","406.6507861468855","616.2507555263297","12.20741226653638","221.80738164598063","true"
"J000032","in","3","TJ000032","F3-A3-B3-L","418.21708659641445","437.5497656324518","619.0831218168282","19.332679036037348","200.86603522041378","true"
"J000028","out","2","I000101","F2-A3-B11-R","397.0640205126256","463.63279421676543","623.4427361623891","66.56877370413986","226.37871564976354","true"
"J000030","out","3","I000149","F3-A2-B14-R","405.7030137302354","454.3489483715526","648.7826416649957","48.64593464131718","243.0796279347603","true"
"J000035","in","2","TJ000035","F2-A3-B10-L","495.6011969037354","522.4757878889003","654.2791270844891","26.8745909851649","158.67793018075372","true"
"J000036","in","4","TJ000036","F4-A2-B5-R","499.99126953072846","550.5893092743414","665.7766718099136","50.59803974361296","165.78540227918518","true"
"J000034","out","4","I000211","F4-A2-B12-L","493.81416843738407","535.9137757961904","676.8961630504368","42.09960735880634","183.08199461305276","true"
"J000039","out","3","I000146","F3-A2-B12-R","508.25766948983073","570.7686913320349","700.0961630504369","62.51102184220417","191.83849356060614","true"
"J000031","out","1","I000008","F1-A3-B11-R","405.83374018780887","570.0908322857549","727.64565279322","164.25709209794604","321.8119126054112","true"
"J000040","in","3","TJ000040","F3-A1-B17-R","520.0257549528033","569.9893092743414","736.7518842909033","49.96355432153814","216.7261293381","true"
"J000037","out","2","I000077","F2-A2-B3-L","502.5995893077925","601.0192038439144","748.4918640444554","98.41961453612191","245.8922747366629","true"
"J000033","in","1","TJ000033","F1-A3-B18-L","491.1660695960745","497.1358823862937","755.8371651534786","5.96981279021918","264.6710955574041","true"
"J000044","in","2","TJ000044","F2-A1-B17-L","604.7849864792079","648.7826416649957","764.6690634694494","43.997655185787835","159.8840769902415","true"
"J000042","out","4","I000197","F4-A3-B15-R","599.0895843226463","622.4167485693389","776.0413537872386","23.327164246692632","176.9517694645923","true"
"J000041","in","4","TJ000041","F4-A2-B20-R","593.0951162101701","595.329214776948","803.0709700907327","2.2340985667779023","209.97585388056257","true"
"J000045","out","3","I000169","F3-A2-B18-L","604.8942339653149","691.3919610503285","838.2810842032115","86.4977270850136","233.38685023789662","true"
"J000038","out","1","I000022","F1-A1-B14-R","503.9352498855442","696.9772419129039","855.7800636887779","193.0419920273597","351.8448138032337","true"
"J000046","out","2","I000097","F2-A3-B4-R","610.4357230011374","719.3091402288746","881.419794104751","108.87341722773726","270.9840711036136","true"
"J000048","in","3","TJ000048","F3-A3-B18-R","623.884323942475","676.8961630504368","881.8382939180522","53.011839107961805","257.95396997557714","true"
"J000050","in","2","TJ000050","F2-A1-B11-R","695.877815275453","727.64565279322","887.5831818031801","31.76783751776702","191.70536652772705","true"
"J000043","in","1","TJ000043","F1-A2-B17-R","599.7644367767498","623.4427361623891","888.8901379266272","23.67829938563932","289.1257011498774","true"
"J000049","in","4","TJ000049","F4-A1-B17-L","685.9536831220612","700.0961630504369","902.8408165718821","14.142479928375678","216.8871334498209","true"
"J000051","out","4","TJ000036","F4-A2-B5-R","697.5184419006109","749.2110468501579","906.8197941047509","51.69260494954699","209.30135220414002","true"
"J000061","out","4","I000234","F4-A1-B2-L","806.7665507271886","857.4808933313074","961.081609631908","50.71434260411877","154.31505890471942","true"
"J000047","out","1","I000034","F1-A3-B2-R","611.6665780777112","837.1302146860523","972.5805891174743","225.46363660834118","360.9140110397632","true"
"J000053","out","2","I000112","F2-A2-B13-L","703.0641965288669","846.4232585626053","987.4268003687097","143.35906203373838","284.3626038398428","true"
"J000057","in","4","TJ000057","F4-A2-B17-L","784.0123663656414","793.2413537872385","1000.3105526765455","9.22898742159714","216.29818631090416","true"
"J000056","in","3","TJ000056","F3-A1-B7-L","727.755784005858","776.0413537872386","1001.0580368785345","48.28556978138056","273.3022528726765","true"
"J000052","in","1","TJ000052","F1-A2-B4-R","699.178583836183","748.4918640444554","1004.6519190348747","49.31328020827243","305.47333519869176","true"
"J000058","in","2","TJ000058","F2-A2-B1-R","790.0685357209295","812.6413537872385","1005.2029247636624","22.57281806630897","215.1343890427329","true"
"J000055","out","3","I000175","F3-A2-B13-R","709.4801317807287","822.9783706774774","1013.0665307846828","113.49823889674872","303.58639900395406","true"
"J000054","out","1","I000041","F1-A2-B8-L","708.8999266922474","961.9920795469225","1069.3054157728554","253.09215285467508","360.40548908060805","true"
"J000063","out","3","I000137","F3-A1-B13-R","816.0260248137638","962.6981136379598","1086.5054157728555","146.67208882419595","270.4793909590917","true"
"J000064","in","3","TJ000064","F3-A1-B11-L","821.2954382039607","855.7800636887779","1091.5586240580917","34.48462548481723","270.26318585413105","true"
"J000060","out","2","I000104","F2-A3-B16-R","805.7388408342376","965.1763348564209","1107.3516270240907","159.43749402218327","301.61278618985307","true"
"J000059","in","1","TJ000059","F1-A2-B20-R","802.0269903866574","838.2810842032115","1109.5632681381533","36.25409381655413","307.53627775149585","true"
"J000067","out","4","I000183","F4-A3-B20-L","897.9384212847799","948.5506294359707","1132.7516270240908","50.61220815119077","234.8132057393109","true"
"J000066","in","2","TJ000066","F2-A2-B15-L","883.8535546697676","906.8197941047509","1137.303436005949","22.966239434983322","253.4498813361813","true"
"J000065","in","4","TJ000065","F4-A3-B11-L","875.0697438977659","881.419794104751","1149.2302956370277","6.350050206985088","274.1605517392618","true"
"J000071","out","3","I000157","F3-A1-B12-L","920.3721073269844","1050.398700817517","1158.0915325266974","130.0265934905326","237.719425199713","true"
"J000062","out","1","I000046","F1-A1-B3-L","807.8633048804477","1055.7033448975785","1183.431438029304","247.84004001713083","375.5681331488563","true"
"J000072","in","3","TJ000072","F3-A3-B4-L","926.464659278281","933.1649848415526","1185.4241380976835","6.700325563271576","258.9594788194024","true"
"J000070","out","2","TJ000007","F2-A2-B11-R","912.0351198734716","1086.9435127653742","1198.2776492805392","174.90839289190262","286.24252940706765","true"
"J000068","in","1","TJ000068","F1-A3-B2-R","904.2245235759765","921.6660053559863","1220.3197608132941","17.44148178000978","316.09523723731763","true"
"J000075","out","4","I000229","F4-A3-B3-L","992.9584622662514","1095.270372396453","1226.3911706659803","102.31191013020157","233.43270839972888","true"
"J000073","in","2","TJ000073","F2-A2-B8-R","982.7590682124719","987.4268003687097","1235.9147851092278","4.667732156237776","253.15571689675585","true"
"J000074","in","4","TJ000074","F4-A1-B2-L","983.0849761236459","1013.0665307846828","1239.9878537594575","29.981554661036853","256.9028776358116","true"
"J000079","out","3","I000147","F3-A1-B13-L","1020.0216829404235","1136.3642986097311","1271.1310761685868","116.34261566930763","251.1093932281633","true"
"J000078","out","2","I000090","F2-A2-B7-R","1018.7183800246567","1190.4548618686529","1296.7708065845598","171.73648184399622","278.0524265599031","true"
"J000080","in","3","TJ000080","F3-A2-B12-R","1020.3414223529398","1043.9655102702488","1307.0716735173698","23.624087917308998","286.73025116443","true"
"J000069","out","1","I000023","F1-A2-B10-L","907.8296186821535","1172.8599479492054","1319.560026743316","265.0303292670519","411.7304080611625","true"
"J000081","in","2","TJ000081","F2-A1-B8-L","1081.8950586533174","1086.5054157728555","1322.6803829014418","4.610357119538094","240.78532424812443","true"
"J000076","in","1","TJ000076","F1-A1-B5-L","1003.8808905426413","1032.4665307846826","1326.5150693839837","28.585640242041336","322.6341788413424","true"
"J000083","out","4","I000230","F4-A2-B3-R","1094.1980516305193","1205.328040895369","1347.1095164860992","111.12998926484966","252.91146485557988","true"
"J000082","in","4","TJ000082","F4-A3-B16-L","1091.3265990233049","1107.3516270240907","1358.0866890879583","16.025028000785824","266.76009006465347","true"
"J000088","out","3","I000153","F3-A3-B12-R","1129.4225106481463","1258.811750276795","1400.9095164860992","129.38923962864874","271.4870058379529","true"
"J000077","out","1","I000031","F1-A2-B15-R","1006.9016296230257","1289.5551461434088","1423.6987366448554","282.65351652038316","416.7971070218298","true"
"J000087","in","3","TJ000087","F3-A2-B4-L","1124.0557419741526","1158.0915325266974","1433.0246660585628","34.03579055254477","308.9689240844102","true"
"J000089","in","2","TJ000089","F2-A1-B3-L","1190.81913407892","1198.2776492805392","1442.5546331061428","7.458515201619321","251.7354990272229","true"
"J000085","in","1","TJ000085","F1-A1-B12-R","1111.9881005678326","1132.7516270240908","1445.4093676648026","20.763526456258205","333.42126709697004","true"
"J000086","out","2","I000068","F2-A2-B20-L","1123.9223957946524","1283.620459660867","1451.8122580302966","159.69806386621462","327.88986223564416","true"
"J000090","in","4","TJ000090","F4-A2-B9-R","1197.8794748615474","1226.3911706659803","1475.2453164615079","28.511695804432975","277.3658415999605","true"
"J000092","out","4","I000226","F4-A1-B6-R","1202.7890026150271","1300.6267658473837","1479.3617477730797","97.83776323235656","276.5727451580526","true"
"J000094","out","2","I000071","F2-A1-B9-L","1215.6040811305866","1407.0402026213494","1505.0014781890527","191.43612149076284","289.39739705846614","true"
"J000084","out","1","TJ000027","F1-A2-B9-R","1108.0982501711696","1403.5494444242279","1527.790698347809","295.45119425305825","419.69244817663935","true"
"J000095","in","3","TJ000095","F3-A2-B8-L","1223.6285065067932","1271.1310761685868","1528.1270882346682","47.502569661793586","304.49858172787503","true"
"J000097","in","2","TJ000097","F2-A2-B14-L","1285.270167319104","1296.7708065845598","1538.7552202857","11.500639265455675","253.48505296659596","true"
"J000096","out","3","I000145","F3-A2-B7-L","1234.4417620450258","1390.3648265706106","1555.7073231381644","155.92306452558478","321.26556109313856","true"
"J000091","in","1","TJ000091","F1-A1-B14-R","1202.367155267857","1245.7911706659802","1562.0624439586184","43.424015398123174","359.69528869076134","true"
"J000100","in","4","TJ000100","F4-A1-B5-R","1307.0947849797085","1347.1095164860992","1572.9151629426576","40.01473150639072","265.8203779629491","true"
"J000101","out","4","I000215","F4-A2-B18-R","1310.3972603101283","1429.0853932209332","1583.2568128809476","118.68813291080482","272.85955257081923","true"
"J000093","out","1","I000051","F1-A1-B16-L","1211.3123863842338","1518.8025207180435","1617.955792366514","307.4901343338097","406.6434059822802","true"
"J000105","in","2","TJ000105","F2-A1-B14-R","1388.6389554990456","1400.9095164860992","1643.9027754734313","12.270560987053614","255.2638199743858","true"
"J000102","out","2","TJ000013","F2-A1-B4-R","1321.349734729156","1489.0952970451253","1646.0693137519552","167.74556231596944","324.7195790227993","true"
"J000099","in","1","TJ000099","F1-A1-B18-L","1303.7996425107121","1319.560026743316","1656.8239478265418","15.760384232603883","353.0243053158297","true"
"J000103","in","3","TJ000103","F3-A2-B16-R","1329.3203832162544","1366.509516486099","1665.2801645284837","37.18913326984466","335.9597813122293","true"
"J000104","out","3","I000128","F3-A3-B16-R","1342.5752969412133","1482.6671649940934","1671.7090441679281","140.09186805288005","329.13374722671483","true"
"J000109","out","4","I000198","F4-A2-B20-L","1411.0537784127519","1535.9552397020827","1699.6256689582835","124.90146128933088","288.5718905455317","true"
"J000106","in","4","TJ000106","F4-A1-B20-R","1397.4157420825213","1423.6987366448554","1703.24279455681","26.282994562334125","305.8270524742886","true"
"J000098","out","1","I000050","F1-A1-B11-L","1301.424551717937","1610.764024585967","1727.1751587010667","309.33947286803004","425.7506069831297","true"
"J000113","in","2","TJ000113","F2-A2-B9-R","1485.4985369602218","1505.0014781890527","1736.1051976495364","19.502941228830878","250.6066606893146","true"
"J000107","in","1","TJ000107","F1-A1-B3-R","1402.3901477083564","1451.8122580302966","1740.7983015519098","49.42211032194018","338.40815384355346","true"
"J000110","out","2","TJ000050","F2-A1-B11-R","1417.5334028759971","1600.6428522328565","1749.964378859823","183.1094493568594","332.4309759838259","true"
"J000112","out","3","I000134","F3-A3-B14-R","1440.1236792188138","1614.220241287909","1775.604109275796","174.09656206909517","335.4804300569822","true"
"J000111","in","3","TJ000111","F3-A1-B7-R","1430.576179586351","1479.3617477730797","1791.1332408222993","48.785568186728824","360.55706123594837","true"
"J000108","out","1","I000028","F1-A1-B19-L","1410.8558543445542","1705.2838710671165","1820.3535990185792","294.42801672256223","409.49774467402494","true"
"J000115","in","1","TJ000115","F1-A2-B1-L","1496.0245838714764","1555.7073231381644","1839.1014813663926","59.68273926668803","343.07689749491624","true"
"J000117","out","2","I000064","F2-A3-B9-R","1519.673532936722","1689.9452744089617","1841.1998102698144","170.27174147223968","321.52627733309237","true"
"J000114","in","4","TJ000114","F4-A2-B2-L","1493.3628366189077","1527.790698347809","1841.6623236201387","34.427861728901235","348.299487001231","true"
"J000123","in","2","TJ000123","F2-A1-B15-R","1594.5199849270284","1646.0693137519552","1858.4582739433522","51.54932882492676","263.9382890163238","true"
"J000118","out","4","TJ000082","F4-A3-B16-L","1519.6899170288816","1655.782871316235","1868.7493000125976","136.09295428735345","349.059382983716","true"
"J000119","in","3","TJ000119","F3-A1-B12-R","1529.614653820172","1583.2568128809476","1876.7947446902226","53.64215906077561","347.18009087005066","true"
"J000120","out","3","I000165","F3-A1-B9-L","1532.767130723223","1752.7733175817245","1891.9493000125976","220.00618685850145","359.18216928937454","true"
"J000116","out","1","I000042","F1-A2-B3-L","1517.9629230638966","1799.074891459151","1919.4987897553808","281.1119683952545","401.5358666914842","true"
"J000121","in","1","TJ000121","F1-A2-B20-L","1587.2335818456486","1600.4568128809476","1938.9174924785345","13.223231035299023","351.68391063288595","true"
"J000126","out","4","I000231","F4-A1-B13-L","1629.2090433416888","1800.6025107560502","1947.612311140822","171.39346741436134","318.4032677991331","true"
"J000122","in","4","TJ000122","F4-A2-B5-R","1592.8933333372697","1617.955792366514","1951.3576321908283","25.062459029244337","358.4642988535586","true"
"J000125","out","2","I000075","F2-A2-B12-L","1614.4445242499933","1814.4983507027773","1970.4015312995782","200.05382645278405","355.95700704958494","true"
"J000128","in","3","TJ000128","F3-A2-B14-R","1631.6594045935199","1671.7090441679281","1973.756248558146","40.049639574408275","342.09684396462603","true"
"J000131","in","2","TJ000131","F2-A2-B2-L","1685.9761178027838","1749.964378859823","1977.8112398606816","63.98826105703915","291.8351220578977","true"
